Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
22638,22640,Ophiuchus Shaina,Unknown,Female,Green,13.136,12.617,Unknown,Unknown,Unknown,"Armor, Elemental Powers, Lightning Powers, Masks, Superpowers, Teenagers, Warriors",146,35,Unknown,https://www.anime-planet.com/characters/ophiuchus-shaina,181.0,36040.0
21592,21594,Jashin,Unknown,Female,Blonde,13.677,11.085,Unknown,Unknown,Unknown,"Demons, Frequently-Naked, Hair Antenna, Hair Ribbons, Pointy Ears, Snaggleteeth",139,42,Unknown,https://www.anime-planet.com/characters/jashin,181.0,
3150,3150,Shouka KOU,Unknown,Male,Brown,11.601,33.174,Unknown,Unknown,Unknown,"Single Parents, Nobility, Closed Eyes",173,8,Unknown,https://www.anime-planet.com/characters/shouka-kou,181.0,
1633,1633,Khi,Unknown,Male,Green,12.555,15.668,Unknown,Unknown,Unknown,"Aliens, Children, Hair Antenna",155,26,Unknown,https://www.anime-planet.com/characters/khi,181.0,63.0
26164,26166,Sayuri SAWATARI,Unknown,Female,Brown,11.502,38.696,Unknown,Unknown,Unknown,"Musicians, Sickly, Teenagers, Violinists",175,6,Unknown,https://www.anime-planet.com/characters/sayuri-sawatari,181.0,
20274,20276,Kaoru SETA,Unknown,Female,Purple,11.583,37.654,Unknown,Unknown,Unknown,"Band Members, Bifauxnen, Guitarists, High School Students, Musicians, Pianists, Teenagers",174,7,Unknown,https://www.anime-planet.com/characters/kaoru-seta,181.0,33573.0
42242,42246,Dart DRAGUNOV,Unknown,Male,Black,11.791,28.652,Unknown,Unknown,Unknown,"Military, Eye Patches, Scars, Facial Hair, Adults, Archers, Capes, Ponytail",170,11,Unknown,https://www.anime-planet.com/characters/dart-dragunov,181.0,37202.0
43588,43592,Moe MIZUKOSHI,Unknown,Female,Green,12.003,21.714,Unknown,Unknown,Unknown,"Cooks, High School Students, Wealthy, Teenagers, Ponytail, Airheads, Hair Ribbons",165,16,Unknown,https://www.anime-planet.com/characters/moe-mizukoshi,181.0,9393.0
30171,30173,Saburouta BANDOU,Unknown,Male,Black,12.517,16.242,Unknown,Unknown,Unknown,"Hats, Sunglasses, Superpowers, Teenagers",156,25,Unknown,https://www.anime-planet.com/characters/saburouta-bandou,181.0,14467.0
5555,5556,Tsumiki FUSHIGURO,Unknown,Female,Brown,11.932,24.502,Brown,Unknown,Unknown,"Cursebearers, Ponytail",167,14,Unknown,https://www.anime-planet.com/characters/tsumiki-fushiguro,181.0,38777.0
3197,3197,Sawawa HIYORIMI,Unknown,Female,Brown,12.724,14.448,Unknown,Unknown,Unknown,"Sweet Tooth, Maids, Eternal Optimists, Cooks, Adults",152,29,"Hiro's elder sister, Sawawa is a maid in the employ of Hime. Using her excellent cooking skills, she helps clean and tidy the enormous mansion. Sawawa's gorgeous looks combine with her love of cute things and her addiction to sweet foods (with a special affection for parfait) to make her a package irresistable to men, though she remains painfully oblivious to their advances. On her off hours, she regularly visits a local bakery where she enjoys the well-meaning attentions (and free treats) of the shop's owner--much to the delight of her sweet tooth.",https://www.anime-planet.com/characters/sawawa-hiyorimi,181.0,
20675,20677,Mei AYAZUKI,Little Squirrel,Female,Brown,11.727,30.147,Unknown,Unknown,Unknown,"Headphones, High School Students, Spirit Seers, Teenagers, Time Travelers",171,10,Unknown,https://www.anime-planet.com/characters/mei-ayazuki,181.0,34209.0
27784,27786,Hyosuke MAGUMO,Unknown,Male,Blonde,12.933,13.509,Grey,Unknown,Unknown,"Dark-skinned, High School Students, Hyperactive, Perverted, Teenagers",149,32,Unknown,https://www.anime-planet.com/characters/hyosuke-magumo,181.0,
3290,3290,Rathy,Unknown,Female,Brown,11.442,42.17,Unknown,Unknown,Unknown,"Elves, Oversized Weapons",176,5,"A Mine Elf who excels in making weaponry, but prefers to make household items. She is small, but wields a large hammer in battle. Rathy has a talent for digging tunnels.",https://www.anime-planet.com/characters/rathy,181.0,3594.0
5850,5851,Greg EGAN,Dr. Bear,Male,Red,13.716,10.761,Unknown,Unknown,Unknown,"Abnormally Tall, Adults, Facial Hair, Mohawks, Overweight, Scientists, Sunglasses",138,43,Unknown,https://www.anime-planet.com/characters/greg-egan,181.0,
45890,45894,Matsuri HIIRAGI,Unknown,Female,Brown,12.416,17.274,Unknown,Unknown,Unknown,"University Students, Adults, Shrine Maidens",158,23,Unknown,https://www.anime-planet.com/characters/matsuri-hiiragi,181.0,
5841,5842,Shigure YUKIMI,Unknown,Female,Black,12.636,15.467,Unknown,Unknown,Unknown,"Adults, Military",154,27,Unknown,https://www.anime-planet.com/characters/shigure-yukimi,181.0,
4490,4490,Kousuke ASAZUKI,Unknown,Male,Red,12.229,18.842,Unknown,Unknown,Unknown,"Glasses, Hot-Headed",161,20,"Kousuke is a hot-headed and aggressive Blade Child. Although he is not stupid, his intelligence does not quite match up to that of his friends and so he frequently finds himself ordered around. Due to previous betrayals, Kousuke doesn't trust normal people and doesn't give them any reason to trust him either, especially with his extremely arrogant nature.",https://www.anime-planet.com/characters/kousuke-asazuki,181.0,
31743,31745,Kibagaeru,Unknown,Male,Grey,44.234,3.169,Unknown,Unknown,Unknown,"Pirates, Masks, Magnificent Mustaches, Hats, Facial Hair, Adults, Sailors",19,162,"Kiba joined Foxy ’s pirate crew after losing his position of captain of the Fanged Toad Pirates, though he is now wholly loyal to Foxy and his crewmates.",https://www.anime-planet.com/characters/kibagaeru,181.0,21.0
33029,33031,Goldmine,Unknown,Male,Brown,16.609,6.728,Black,Unknown,Unknown,"Guild Masters, Hats, Magic Users, Sunglasses",105,76,Unknown,https://www.anime-planet.com/characters/goldmine,181.0,6702.0
7953,7954,Hello Kitty,Kitty WHITE,Female,White,12.603,15.268,Unknown,Unknown,Unknown,"Animals, Anthropomorphic, Cats",154,27,Unknown,https://www.anime-planet.com/characters/hello-kitty,181.0,3202.0
35787,35789,Kakazuzu,Unknown,Male,White,13.58,11.222,Unknown,Unknown,Unknown,Unknown,140,41,Unknown,https://www.anime-planet.com/characters/kakazuzu,181.0,10163.0
17681,17683,Subaru NAKAJIMA,Unknown,Female,Purple,11.651,30.946,Unknown,Unknown,Unknown,Magical Girl,172,9,Unknown,https://www.anime-planet.com/characters/subaru-nakajima,181.0,
14096,14098,Alice STARDIA,Unknown,Female,Black,11.887,25.796,Black,Unknown,Unknown,"Brother Complex, Hair Antenna, Nobility, Teenagers",168,13,Unknown,https://www.anime-planet.com/characters/alice-stardia,181.0,45658.0
37616,37618,4989,Unknown,Male,White,11.492,46.291,Unknown,Unknown,Unknown,"Knife Fighters, Hats, Bloodthirsty, Anthropomorphic, Gloves",176,5,Unknown,https://www.anime-planet.com/characters/4989,181.0,
10563,10564,Jousuke UDONO,Unknown,Male,Black,21.619,4.624,Unknown,Unknown,Unknown,"Adults, Facial Hair, Ninja",69,112,Unknown,https://www.anime-planet.com/characters/jousuke-udono,181.0,
18175,18177,Detective Kun-Kun,Unknown,Male,Multicolored,12.119,20.919,Unknown,Unknown,Unknown,"Animals, Detectives, Dogs, Hats, Smokers",163,17,Unknown,https://www.anime-planet.com/characters/detective-kun-kun,180.0,64.0
11749,11751,Naomi,Unknown,Female,Black,12.166,20.16,Unknown,Unknown,Unknown,Fortune Tellers,162,18,Unknown,https://www.anime-planet.com/characters/naomi,180.0,935.0
10074,10075,Filimos,Filimos HARRIFENAS,Female,Blonde,17.21,6.449,Blue,Unknown,Unknown,"Magic Users, Braids, Chokers, Elves, Person in a Strange World, Pointy Ears, Ponytail, Small Stature",100,80,Unknown,https://www.anime-planet.com/characters/filimos,180.0,
5914,5915,Ichiko AYASE,Unknown,Female,Black,29.831,3.672,Unknown,Unknown,Unknown,"High School Students, Student Council, Teenagers",40,140,Unknown,https://www.anime-planet.com/characters/ichiko-ayase,180.0,
13815,13817,Haruko Daniela DIECKMANN,Unknown,Female,Blonde,13.981,10.511,Unknown,Unknown,Unknown,"Smokers, Glasses, Adults, Bossy",135,45,Unknown,https://www.anime-planet.com/characters/haruko-daniela-dieckmann,180.0,31680.0
17448,17450,Miroku BARSBURG,Unknown,Male,Grey,40.111,3.27,Unknown,Unknown,Unknown,"Adults, Facial Hair, Military",23,157,"As the chairman of the military academy, Miroku overlooked the fact that Teito was a lowly sklave and instead gave the boy a chance to shine. Much to his delight, his trust paid off and Teito became one of his most prized students.",https://www.anime-planet.com/characters/miroku-barsburg,180.0,5525.0
31823,31825,Porta,Unknown,Male,Brown,11.474,49.026,Unknown,Unknown,Unknown,Unknown,176,4,Unknown,https://www.anime-planet.com/characters/porta,180.0,
5211,5211,Cham-P,Unknown,Male,Brown,11.83,28.45,Unknown,Unknown,Unknown,"Animals, Hamsters",169,11,Unknown,https://www.anime-planet.com/characters/cham-p,180.0,
20390,20392,Marga,Unknown,Female,Brown,11.618,36.847,Unknown,Unknown,Unknown,"Orphans, Pigtails",173,7,Unknown,https://www.anime-planet.com/characters/marga,180.0,18115.0
4330,4330,Mihoshi TAKAMURA,Miho-nee,Female,Purple,11.862,26.313,Unknown,Unknown,Unknown,"Adults, Small Stature, Snaggleteeth, Teachers",168,12,Unknown,https://www.anime-planet.com/characters/mihoshi-takamura,180.0,16051.0
8231,8232,Shizuka KAMITANI,Unknown,Female,Black,11.387,74.975,Unknown,Unknown,Unknown,"Adults, Teachers",178,2,Unknown,https://www.anime-planet.com/characters/shizuka-kamitani,180.0,
47364,47369,Mihoshi TACHIBANA,Unknown,Female,Pink,11.563,39.23,Unknown,Unknown,Unknown,"Middle School Students, Rosy Cheeks, Pigtails",174,6,Unknown,https://www.anime-planet.com/characters/mihoshi-tachibana,180.0,
27988,27990,Jirou SHIMA,Unknown,Male,Blonde,15.202,8.194,Unknown,Unknown,Unknown,"Middle School Students, Teenagers",120,60,Unknown,https://www.anime-planet.com/characters/jirou-shima,180.0,
3383,3383,Satsuki KATAKURA,Unknown,Male,Brown,11.64,32.863,Unknown,Unknown,Unknown,"Children, Elementary School Students",172,8,Unknown,https://www.anime-planet.com/characters/satsuki-katakura,180.0,
3273,3273,Takumi SADOHARA,Unknown,Male,Brown,36.932,3.373,Unknown,Unknown,Unknown,"Adults, Sunglasses, Teachers",27,153,Unknown,https://www.anime-planet.com/characters/takumi-sadohara,180.0,9513.0
27727,27729,Quiz Lady,Unknown,Female,Grey,13.231,12.746,Black,Unknown,Unknown,Elderly,145,35,Unknown,https://www.anime-planet.com/characters/quiz-lady,180.0,136.0
