Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
35393,35395,Phenel TSULEU-ARDE COWEN,Unknown,Male,Blonde,28.382,16.312,Unknown,Unknown,Unknown,"Artificial Intelligence (AI), Capes, Ponytail, Royalty",44,25,Unknown,https://www.anime-planet.com/characters/phenel-tsuleu-arde-cowen,69.0,17265.0
31016,31018,Aiko TAKADA,Unknown,Female,Purple,24.348,26.5,Unknown,Unknown,Unknown,"Middle School Students, Teenagers",57,12,Unknown,https://www.anime-planet.com/characters/aiko-takada,69.0,
62592,62600,Regene REGETTA,Unknown,Male,Purple,29.488,14.99,Unknown,Unknown,Unknown,"Glasses, Mecha Pilots, Big Ego, Immortal, Genetically Engineered",41,28,Unknown,https://www.anime-planet.com/characters/regene-regetta,69.0,2581.0
24464,24466,Kanon SEENA,Unknown,Female,Orange,22.463,47.626,Unknown,Unknown,Unknown,"Person in a Strange World, Teenagers, Hats",65,4,Unknown,https://www.anime-planet.com/characters/kanon-seena,69.0,2031.0
9407,9408,Alumi,Unknown,Female,Grey,23.261,38.068,Purple,Unknown,Unknown,"Elderly, Small Stature",62,7,Unknown,https://www.anime-planet.com/characters/alumi,69.0,38691.0
18126,18128,Kurou DAIJUUJI,Unknown,Male,Black,22.475,47.894,Unknown,Unknown,Unknown,"Adults, Detectives, Magic Users, Mecha Pilots, Muscular, Poor",65,4,Unknown,https://www.anime-planet.com/characters/kurou-daijuuji,69.0,
25181,25183,Saki HANADA,Unknown,Female,Brown,22.174,75.389,Unknown,Unknown,Unknown,Children,67,2,Unknown,https://www.anime-planet.com/characters/saki-hanada,69.0,
73257,73270,Yoonsoo LEE,Vasser,Female,Brown,22.41,62.347,Brown,Unknown,Unknown,"Person in a Strange World, Writers, Adults, Salaryman",66,3,Unknown,https://www.anime-planet.com/characters/yoonsoo-lee,69.0,
28361,28363,Dudun-dun-dudun,Unknown,Male,Blonde,23.351,33.468,Unknown,Unknown,Unknown,"Adults, Warriors",61,8,Unknown,https://www.anime-planet.com/characters/dudun-dun-dudun,69.0,
51754,51760,Yusuke HARADA,Unknown,Male,Blonde,145.177,7.406,Unknown,Unknown,Unknown,"Sadistic, Gangsters",1,68,Unknown,https://www.anime-planet.com/characters/yusuke-harada,69.0,35889.0
22099,22101,Shingetsu Ernesta FUKAMI,Unknown,Female,Black,22.392,62.341,Unknown,Unknown,Unknown,"High School Students, Magic Users, Teenagers, Child Prodigies, Transfer Students, Mecha Pilots",66,3,Unknown,https://www.anime-planet.com/characters/shingetsu-ernesta-fukami,69.0,39417.0
55358,55365,Suwako MORIYA,Unknown,Female,Blonde,22.268,55.208,Unknown,Unknown,Unknown,"Hats, Deities",66,3,Unknown,https://www.anime-planet.com/characters/suwako-moriya,69.0,
26306,26308,Natsuki SAOTOME,"Siegrun, The Blade",Female,Blonde,22.361,61.168,Unknown,Unknown,Unknown,"Video Gamers, Tsundere, Transfer Students, Sword Fighters, Hot-Headed, High School Students, Headbands, Deities, Triplets, Teenagers",66,3,Unknown,https://www.anime-planet.com/characters/natsuki-saotome,69.0,39799.0
41687,41691,Mitaka,Unknown,Male,Brown,34.113,12.319,Unknown,Unknown,Unknown,"Adults, Salaryman",32,37,Unknown,https://www.anime-planet.com/characters/mitaka,69.0,
2692,2692,Ousuke KIRYU,Unknown,Male,Black,23.037,41.655,Unknown,Unknown,Unknown,"High School Students, Musicians, Teenagers",63,6,Unknown,https://www.anime-planet.com/characters/ousuke-kiryu,69.0,38080.0
47661,47666,Fish,Unknown,Unknown,Multicolored,22.602,51.996,Unknown,Unknown,Unknown,Animals,65,4,Unknown,https://www.anime-planet.com/characters/fish,69.0,
47971,47976,Alan HUMPHRIES,Unknown,Male,Brown,28.767,15.898,Unknown,Unknown,Unknown,"Shinigami, Glasses, Agents of the Afterlife",43,26,Unknown,https://www.anime-planet.com/characters/alan-humphries,69.0,
49056,49062,Sanson,Unknown,Male,Green,22.71,42.861,Unknown,Unknown,Unknown,"Thieves, Adults, Gunslingers",64,5,Unknown,https://www.anime-planet.com/characters/sanson,69.0,
45225,45229,Chester BURKLIGHT,Unknown,Male,Blue,22.464,47.585,Unknown,Unknown,Unknown,"Archers, Ponytail",65,4,Unknown,https://www.anime-planet.com/characters/chester-burklight,69.0,
40269,40271,Tomoyuki SHINODA,Unknown,Male,Black,23.318,33.073,Unknown,Unknown,Unknown,"Facial Hair, Adults, Closed Eyes",61,8,Unknown,https://www.anime-planet.com/characters/tomoyuki-shinoda,69.0,5258.0
15755,15757,Yukiji YAKUMO,Unknown,Female,Grey,26.494,18.834,Unknown,Unknown,Unknown,Children,49,20,Unknown,https://www.anime-planet.com/characters/yukiji-yakumo,69.0,3299.0
30253,30255,Biki,Unknown,Male,Black,22.505,48.327,Unknown,Unknown,Unknown,Children,65,4,Unknown,https://www.anime-planet.com/characters/biki,69.0,457.0
29148,29150,Niibori,Unknown,Male,Brown,87.289,7.71,Unknown,Unknown,Unknown,"Teenagers, Bullies, Middle School Students",4,65,Unknown,https://www.anime-planet.com/characters/niibori,69.0,
20012,20014,Chie YUZUKI,Unknown,Female,Brown,47.668,9.368,Brown,Unknown,Unknown,Teenagers,17,52,Unknown,https://www.anime-planet.com/characters/chie-yuzuki,69.0,
45925,45929,Naru's Mother,Mayumi OSAKA,Female,Red,26.628,19.11,Unknown,Unknown,Unknown,"Single Parents, Merchants",49,20,"Mother of Naru and the owner of the OSA-P jewelry store. In the manga, she has a second daughter named Naruru .",https://www.anime-planet.com/characters/narus-mother-sailor-moon,69.0,
2605,2605,Pirako CHIN,Unknown,Female,Orange,25.783,21.46,Unknown,Unknown,Unknown,Sword Fighters,52,17,Unknown,https://www.anime-planet.com/characters/pirako-chin,69.0,9969.0
41476,41480,Suki,Unknown,Female,Brown,22.174,74.952,Unknown,Unknown,Unknown,Warriors,67,2,Unknown,https://www.anime-planet.com/characters/suki,69.0,
13239,13241,Fujiko,Unknown,Female,Purple,22.044,65.368,Unknown,Unknown,Unknown,"Analytical, Martial Artists, Stoic, Teenagers, Split Personality",67,2,"Fujiko is one of Motoko's three split personalities, which are collectively known as the HiFuMi. She's a cool-headed strategist who never makes a rash decision when sizing up her enemies, and has taken an interest in young Teruharu .",https://www.anime-planet.com/characters/fujiko-change-123,69.0,
54656,54662,Jinha's Mother,Unknown,Female,Brown,45.064,9.674,Unknown,Unknown,Unknown,Adults,19,50,Unknown,https://www.anime-planet.com/characters/jinhas-mother,69.0,
12990,12992,Nobutsuna NAOE,Unknown,Male,Brown,22.868,38.637,Unknown,Unknown,Unknown,"Adults, Exorcists, Magic Users",63,6,Unknown,https://www.anime-planet.com/characters/nobutsuna-naoe,69.0,
32366,32368,Yoshitsune HIIRAGI,Third Hand,Male,White,36.511,11.329,Unknown,Unknown,Unknown,Superpowers,28,41,Unknown,https://www.anime-planet.com/characters/yoshitsune-hiiragi,69.0,30137.0
17368,17370,Gengorou TAKEI,Unknown,Male,Black,24.029,27.45,Unknown,Unknown,Unknown,"Athletes, High School Students, Swimmers, Teenagers",58,11,Unknown,https://www.anime-planet.com/characters/gengorou-takei,69.0,
17297,17299,Kayo MARUTA,Unknown,Female,Grey,25.517,22.403,Unknown,Unknown,Unknown,"Glasses, High School Students, Student Council, Teenagers",53,16,Unknown,https://www.anime-planet.com/characters/kayo-maruta,69.0,34382.0
34708,34710,Keitz NOKLEBEN,Unknown,Male,Brown,42.356,9.945,Unknown,Unknown,Unknown,"Adults, Scientists",21,48,Unknown,https://www.anime-planet.com/characters/keitz-nokleben,69.0,
20245,20247,Shoko TANIMOTO,Unknown,Female,Black,22.636,53.288,Unknown,Unknown,Unknown,University Students,65,4,Unknown,https://www.anime-planet.com/characters/shoko-tanimoto,69.0,
33052,33054,Gudako,Ritsuka FUJIMARU,Female,Orange,22.611,52.41,Unknown,Unknown,Unknown,"Hair Antenna, Magic Users, Ponytail, Time Travelers",65,4,Unknown,https://www.anime-planet.com/characters/gudako,69.0,44248.0
34011,34013,Kanoka,Unknown,Female,Purple,22.21,78.751,Unknown,Unknown,Unknown,"Glasses, Adults",67,2,Unknown,https://www.anime-planet.com/characters/kanoka,69.0,
33909,33911,Takuo OTAKURA,Unknown,Male,Black,41.217,10.084,Unknown,Unknown,Unknown,"Glasses, Headbands, High School Students, Otaku, Overweight, Teenagers",22,47,Unknown,https://www.anime-planet.com/characters/takuo-otakura,69.0,
50535,50541,Mocha,Unknown,Female,Black,24.661,25.465,Unknown,June 28,Unknown,"Children, Abnormally Tall",56,13,Unknown,https://www.anime-planet.com/characters/mocha-one-piece,69.0,21.0
18923,18925,Mayo OJOUSA,Unknown,Female,Brown,22.182,75.802,Unknown,Unknown,Unknown,"Hair Ribbons, Middle School Students, Wealthy, Teenagers, Hair Drills",67,2,Unknown,https://www.anime-planet.com/characters/mayo-ojousa,69.0,
25548,25550,Miyuki SETA,Mi,Female,Turquoise,25.405,22.092,Unknown,Unknown,Unknown,"High School Students, Teenagers, Sword Fighters",53,16,Unknown,https://www.anime-planet.com/characters/miyuki-seta,69.0,
15775,15777,Haruki MISHIMA,Unknown,Male,Brown,22.796,45.822,Unknown,Unknown,Unknown,"High School Students, Teenagers",64,5,Unknown,https://www.anime-planet.com/characters/haruki-mishima,69.0,
18535,18537,Tsuchinoko,Unknown,Female,Blue,22.138,73.682,Unknown,Unknown,Unknown,"Animal Hoods, Anthropomorphic, Animals",67,2,Unknown,https://www.anime-planet.com/characters/tsuchinoko-kemono-friends,69.0,33089.0
38091,38093,Animate Clerk E,Unknown,Female,Blue,27.267,17.843,Turquoise,Unknown,Unknown,Merchants,47,22,Unknown,https://www.anime-planet.com/characters/animate-clerk-e,69.0,
38993,38995,Deer,Unknown,Female,Brown,23.626,31.555,Black,Unknown,Unknown,"Animals, Deer",60,9,Unknown,https://www.anime-planet.com/characters/deer,69.0,
33152,33154,Mamiina,Unknown,Female,Blue,22.462,47.601,Unknown,Unknown,Unknown,Unknown,65,4,Unknown,https://www.anime-planet.com/characters/mamiina,69.0,879.0
39573,39575,Itsumi RYOGOKU,Unknown,Male,Orange,22.669,42.267,Unknown,Unknown,Unknown,Anthropomorphic,64,5,Unknown,https://www.anime-planet.com/characters/itsumi-ryogoku,69.0,
25467,25469,Garm,Unknown,Female,Turquoise,37.151,11.303,Unknown,Unknown,Unknown,Unknown,27,41,Unknown,https://www.anime-planet.com/characters/garm-garo-the-animation,68.0,28539.0
37027,37029,Baishin,Unknown,Male,Grey,46.872,9.448,Unknown,Unknown,Unknown,"Shinigami, Bloodthirsty, Facial Hair, Muscular, Agents of the Afterlife",17,51,Unknown,https://www.anime-planet.com/characters/baishin,68.0,834.0
9695,9696,College Student B,Unknown,Female,Blonde,113.798,7.599,Black,Unknown,Unknown,University Students,2,66,Unknown,https://www.anime-planet.com/characters/college-student-b,68.0,37510.0
27242,27244,Edward MIDFORD,Unknown,Male,Blonde,22.345,73.319,Green,Unknown,Unknown,"High School Students, Nobility, Teenagers",66,2,Unknown,https://www.anime-planet.com/characters/edward-midford,68.0,
17750,17752,Vanessa RENE,Unknown,Female,Black,23.086,38.585,Unknown,Unknown,Unknown,"Adults, Wealthy",62,6,"Left as an orphan in her childhood, Vanessa became a tutor and a neighbour to Margaret. As her parents were cruelly killed after becoming deeply involved in politics, Margaret has made it her mission to find out the truth of her home country. Remaining strong willed in the face of adversity, her black market trading leaves her extremely vunerable.",https://www.anime-planet.com/characters/vanessa-rene,68.0,252.0
21640,21642,Oriana,Unknown,Female,Green,23.046,46.635,Unknown,Unknown,Unknown,"Hair Ribbons, Pigtails",63,5,Unknown,https://www.anime-planet.com/characters/oriana,68.0,
