Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
10153,10154,Vice-Principal,Unknown,Male,Black,41.685,12.552,Unknown,Unknown,Unknown,Adults,22,36,Unknown,https://www.anime-planet.com/characters/vice-principal-interviews-with-monster-girls,58.0,
27356,27358,Mallybath BLACKBALL,Unknown,Female,Red,25.155,49.52,Unknown,Unknown,Unknown,"Magic Users, Hats, Witches",54,4,Unknown,https://www.anime-planet.com/characters/mallybath-blackball,58.0,
20632,20634,Moeko TOKITA,Unknown,Female,Blonde,24.39,88.018,Unknown,Unknown,Unknown,"High School Students, Teenagers, Pigtails",57,1,Unknown,https://www.anime-planet.com/characters/moeko-tokita,58.0,30355.0
16862,16864,Isami MIYANOMORI,Unknown,Male,Black,24.917,57.741,Unknown,Unknown,Unknown,Military,55,3,Unknown,https://www.anime-planet.com/characters/isami-miyanomori,58.0,
45668,45672,Rizumu AMAMIYA,Unknown,Female,Orange,25.172,49.645,Unknown,Unknown,Unknown,"Idols, Ice Skaters",54,4,Unknown,https://www.anime-planet.com/characters/rizumu-amamiya,58.0,22215.0
30217,30219,Seiichirou TAKAMINE,Unknown,Male,Multicolored,25.18,49.968,Unknown,Unknown,Unknown,"Adults, Oversized Weapons, Piercings, Scars, Sword Fighters",54,4,Unknown,https://www.anime-planet.com/characters/seiichirou-takamine,58.0,
43320,43324,Hye-Rin KIM,Hui-Rin KIM,Female,Blonde,25.101,48.201,Unknown,Unknown,Unknown,"Flirts, Teenagers, Gyaru",54,4,Unknown,https://www.anime-planet.com/characters/hye-rin-kim,58.0,
23602,23604,Carpaccio,Unknown,Female,Blonde,24.636,68.622,Unknown,Unknown,Unknown,"High School Students, Teenagers",56,2,Unknown,https://www.anime-planet.com/characters/carpaccio-girls-und-panzer-kore-ga-hontou-no-anzio-sen-desu,58.0,
57924,57932,Hana NONO,Cure Yell,Female,Magenta,25.541,46.068,Unknown,Unknown,Unknown,"Magical Girl, Middle School Students, Teenagers",53,5,Unknown,https://www.anime-planet.com/characters/hana-nono,58.0,
25152,25154,Komaki JINDAI,Unknown,Female,Black,25.121,48.841,Unknown,Unknown,Unknown,"Board Game Players, High School Students, Pigtails, Rosy Cheeks, Teenagers",54,4,Unknown,https://www.anime-planet.com/characters/komaki-jindai,58.0,5671.0
22839,22841,Hirumi HISHIGATA,Unknown,Female,Brown,31.98,18.085,Unknown,Unknown,Unknown,"High School Students, Moles, Pigtails, Sickly, Teenagers",36,22,Unknown,https://www.anime-planet.com/characters/hirumi-hishigata,58.0,
24027,24029,Mirarose,Unknown,Female,Black,25.871,42.057,Unknown,Unknown,Unknown,"Braids, Chokers, Elemental Powers, Magic Users, Rosy Cheeks, Royalty, Ruthless, Witches",52,6,Unknown,https://www.anime-planet.com/characters/mirarose,58.0,
62243,62251,Hemopoietic Stem Cell,Unknown,Female,Black,24.472,99.897,Unknown,Unknown,Unknown,"Hats, Hair Buns, Anthropomorphic",57,1,Unknown,https://www.anime-planet.com/characters/hemopoietic-stem-cell,58.0,
11021,11023,Don Paolo,Unknown,Male,Brown,28.996,21.802,Unknown,Unknown,Unknown,"Facial Hair, Magnificent Mustaches, Balding",42,16,Unknown,https://www.anime-planet.com/characters/don-paolo,58.0,
24020,24022,Ushiyama,Unknown,Male,Blue,26.908,29.553,Unknown,Unknown,Unknown,"Crossdressers, Dancers, Hats, Piercings, Dark-skinned",48,10,Unknown,https://www.anime-planet.com/characters/ushiyama,58.0,12149.0
16071,16073,Mariko's Mother,Unknown,Female,Black,68.241,9.46,Unknown,Unknown,Unknown,"Adults, Wealthy",7,51,Unknown,https://www.anime-planet.com/characters/marikos-mother,58.0,
60825,60833,Aura CAPUA,Unknown,Female,Red,24.679,72.501,Red,Unknown,Unknown,"Royalty, Magic Users, Adults, Dark-skinned",56,2,Unknown,https://www.anime-planet.com/characters/aura-capua,58.0,
26806,26808,Kuroudo HARIU,Unknown,Male,Black,29.044,21.924,Unknown,Unknown,Unknown,Glasses,42,16,Unknown,https://www.anime-planet.com/characters/kuroudo-hariu,58.0,
55958,55965,Riko FUKUMINE,Unknown,Female,Pink,26.246,33.449,Unknown,Unknown,Unknown,"High School Students, Hair Antenna, Teenagers, Chokers",50,8,Unknown,https://www.anime-planet.com/characters/riko-fukumine,58.0,1581.0
8983,8984,Jea-Som SONG,Unknown,Female,Brown,24.856,55.967,Unknown,Unknown,Unknown,"Children, Poor",55,3,Unknown,https://www.anime-planet.com/characters/jea-som-song,58.0,
32616,32618,Takeomi KUROIWA,Unknown,Male,Black,27.06,30.389,Brown,September 6,B,"Detectives, Epic Eyebrows, Police",48,10,Unknown,https://www.anime-planet.com/characters/takeomi-kuroiwa,58.0,36511.0
37734,37736,Daiya HIGASHIKATA,Unknown,Female,Black,27.689,26.788,Unknown,Unknown,Unknown,"Animal Hoods, Teenagers",46,12,Unknown,https://www.anime-planet.com/characters/daiya-higashikata,58.0,
11482,11484,Cortez,Unknown,Male,Brown,25.903,35.552,Unknown,Unknown,Unknown,Military,51,7,"Cortez is one of four Orbital Drop Shock Troopers tasked with assassinating a Prophet – that is, with the help of the SPARTAN Cal-141.",https://www.anime-planet.com/characters/cortez,58.0,6867.0
43687,43691,Wanriki MUNAKATA,Macho Munakata,Male,Blonde,37.86,13.619,Unknown,Unknown,Unknown,"Martial Artists, Athletes, Muscular, Adults",26,32,Unknown,https://www.anime-planet.com/characters/wanriki-munakata,58.0,
16291,16293,Megumi SETAGAWA,Unknown,Female,Blonde,55.652,10.322,Unknown,Unknown,Unknown,Adults,12,46,Unknown,https://www.anime-planet.com/characters/megumi-setagawa,58.0,33654.0
11896,11898,Linda VASHTI,Unknown,Female,Blonde,25.916,35.655,Unknown,Unknown,Unknown,"Adults, Glasses, Mechanics, Terrorists",51,7,"Linda Vashti is a wife to Ian and a mother to Mileina. Outside of her home life, she is an engineer for Celestial Being, helping develop the new Gundam systems.",https://www.anime-planet.com/characters/linda-vashti,58.0,3927.0
29545,29547,Daisuke TASAKI,Unknown,Male,Brown,27.395,28.532,Unknown,Unknown,Unknown,"Glasses, High School Students, Teenagers, Wealthy",47,11,Unknown,https://www.anime-planet.com/characters/daisuke-tasaki,58.0,
36575,36577,Onoda's Mother,Unknown,Female,Brown,31.828,17.897,Unknown,Unknown,Unknown,"Adults, Airheads",36,22,Unknown,https://www.anime-planet.com/characters/onodas-mother,58.0,18179.0
38400,38402,Speed Racer,"Go HIBIKI, Go MIFUNE",Male,Brown,26.196,33.094,Unknown,Unknown,Unknown,Racers,50,8,Unknown,https://www.anime-planet.com/characters/speed-racer,58.0,39249.0
28340,28342,Hikaru SAITOU,Unknown,Male,Black,27.63,26.534,Unknown,Unknown,Unknown,University Students,46,12,Unknown,https://www.anime-planet.com/characters/hikaru-saitou,58.0,17397.0
26415,26417,Asha,Astrid,Female,Brown,25.56,46.585,Unknown,Unknown,Unknown,"Royalty, Magic Users",53,5,Unknown,https://www.anime-planet.com/characters/asha-ni-no-kuni,58.0,39235.0
33569,33571,Kouki SAIKI,Unknown,Male,Brown,25.225,51.849,Unknown,Unknown,Unknown,Unknown,54,4,Unknown,https://www.anime-planet.com/characters/kouki-saiki,58.0,
34806,34808,Mitsuki NAKANO,Unknown,Male,Blonde,30.986,19.28,Unknown,Unknown,Unknown,High School Students,38,20,Unknown,https://www.anime-planet.com/characters/mitsuki-nakano,58.0,
30472,30474,Joshua ASTRAY,"Enforcer No. 13, The Black Fang",Male,Black,25.699,39.641,Unknown,Unknown,Unknown,"Bandages, Sword Fighters, Teenagers",52,6,Unknown,https://www.anime-planet.com/characters/joshua-astray,58.0,21427.0
26094,26096,Marilyn CARRY,Unknown,Female,Blonde,28.986,21.789,Unknown,Unknown,Unknown,"Middle School Students, Teenagers, Wealthy, Superpowers",42,16,"The leader of her own team, Marilyn is the daughter of a wealthy famil, though she spent most of her childhood in combat training. She lives solely to fight and believes that she shines brightest on the battlefield; as such she shows little mercy to her opponents.",https://www.anime-planet.com/characters/marilyn-carry,58.0,
18473,18475,Yamashiro,Unknown,Female,Black,24.485,102.607,Unknown,Unknown,Unknown,"Anthropomorphic, Animal Ears, Military",57,1,Unknown,https://www.anime-planet.com/characters/yamashiro-azur-lane,58.0,38328.0
15203,15205,Iris's Father,Unknown,Male,Brown,27.396,28.589,Yellow,Unknown,Unknown,Adults,47,11,Unknown,https://www.anime-planet.com/characters/iriss-father,58.0,33352.0
16375,16377,Takashi UOTANI,Unknown,Male,Blue,24.88,56.51,Unknown,Unknown,Unknown,"Adults, Merchants",55,3,Unknown,https://www.anime-planet.com/characters/takashi-uotani,58.0,21647.0
62383,62391,Neya,Unknown,Unknown,Grey,25.066,47.444,Unknown,Unknown,Unknown,Unknown,54,4,Unknown,https://www.anime-planet.com/characters/neya,58.0,
18771,18773,Kurosaka,Unknown,Female,Black,31.776,17.821,Unknown,Unknown,Unknown,"Adults, Closed Eyes, Knife Fighters, Military",36,22,Unknown,https://www.anime-planet.com/characters/kurosaka,58.0,13331.0
40189,40191,Haruto SAIONJI,Unknown,Male,Blonde,29.816,20.217,Unknown,Unknown,Unknown,"Person in a Strange World, Glasses, Teenagers, Sword Fighters",40,18,Unknown,https://www.anime-planet.com/characters/haruto-saionji,58.0,2031.0
