Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
16204,16206,Keiichirou KOIBUCHI,Unknown,Male,Grey,24.56,7.847,Unknown,Unknown,Unknown,"Adults, Glasses, Politicians",56,63,Unknown,https://www.anime-planet.com/characters/keiichirou-koibuchi,119.0,
18312,18314,Souza Samonji,Unknown,Male,Pink,15.614,60.487,Unknown,Unknown,Unknown,"Tattoos, Sword Fighters, Scars, Piercings, Heterochromia, Hair Ribbons, Anthropomorphic",116,3,Unknown,https://www.anime-planet.com/characters/souza-samonji,119.0,33023.0
32329,32331,The Professor,Hokusai AZUMA,Male,Brown,24.634,7.888,Unknown,Unknown,Unknown,"Terrorists, Sword Fighters, Superpowers, Scars, Psychic Powers, Pianists, Musicians, Combat Illusionists, Vengeful",56,63,Unknown,https://www.anime-planet.com/characters/the-professor-tokyo-esp,119.0,21353.0
19832,19834,Roxanne ELIPTON,Roxanne The Immortal,Female,Pink,16.219,29.763,Unknown,Unknown,Unknown,Foreigners,109,10,Unknown,https://www.anime-planet.com/characters/roxanne-elipton,119.0,18001.0
43399,43403,Karen JOSHUA,Unknown,Female,Red,16.017,33.151,Unknown,Unknown,Unknown,"Military, Mechanics, Mecha Pilots, Adults, Widows",111,8,Unknown,https://www.anime-planet.com/characters/karen-joshua,119.0,81.0
8459,8460,Shizumu SAGAMI,Unknown,Male,Multicolored,32.31,6.148,Unknown,Unknown,Unknown,"Hair Antenna, High School Students, Ponytail, Teenagers",35,84,Unknown,https://www.anime-planet.com/characters/shizumu-sagami,119.0,
14451,14453,Mrs. Kageyama,Unknown,Female,Brown,17.848,16.399,Black,Unknown,Unknown,Unknown,94,25,Unknown,https://www.anime-planet.com/characters/mrs-kageyama,119.0,32182.0
17215,17217,Zen INUBASHIRI,Unknown,Male,Green,18.985,12.908,Unknown,Unknown,Unknown,"High School Students, Hot-Headed, Sword Fighters, Teenagers, Undead",85,34,"Strictly speaking, Zen is Michiru's rival as a member of a trio opposing Z-Loan. However, it seems that the natural leader actually has a soft spot for the girl he refers to as ""Meganekko"".",https://www.anime-planet.com/characters/zen-inubashiri,119.0,2404.0
14755,14757,Shizue SATO,Unknown,Female,Brown,17.118,19.565,Unknown,Unknown,Unknown,Adults,100,19,Unknown,https://www.anime-planet.com/characters/shizue-sato,119.0,
31363,31365,Natsuki HAGIWARA,Unknown,Female,Black,15.758,42.889,Unknown,Unknown,Unknown,"High School Students, Teenagers",114,5,Unknown,https://www.anime-planet.com/characters/natsuki-hagiwara,119.0,
18051,18053,Aidan FIELD,Unknown,Male,Blonde,15.719,52.618,Brown,Unknown,Unknown,"Military, Teenagers",115,4,Unknown,https://www.anime-planet.com/characters/aidan-field,119.0,33352.0
22670,22672,Hazuki AZUMA,Unknown,Female,Black,16.184,28.998,Unknown,Unknown,Unknown,"LGBT+, High School Students, Lesbians, Sword Fighters, Rapunzel Hair",109,10,Unknown,https://www.anime-planet.com/characters/hazuki-azuma,119.0,2105.0
6935,6936,Poe,Unknown,Male,Black,15.935,35.782,Unknown,Unknown,Unknown,"Animals, Cats",112,7,Unknown,https://www.anime-planet.com/characters/poe,119.0,2926.0
25423,25425,Lapis LARZ,Unknown,Female,Green,15.935,35.743,Unknown,Unknown,Unknown,Mecha Pilots,112,7,Unknown,https://www.anime-planet.com/characters/lapis-lars,119.0,
7708,7709,Leon WILSON,Unknown,Male,Purple,21.072,10.078,Unknown,Unknown,Unknown,"Battle Gamers, Freckles, Ponytail",72,47,Unknown,https://www.anime-planet.com/characters/leon-wilson,119.0,
8789,8790,Izuru,Unknown,Female,Red,27.131,6.968,Unknown,Unknown,Unknown,"Mermaids, Circlets",47,72,Unknown,https://www.anime-planet.com/characters/izuru,119.0,
28316,28318,Nyaruo,Unknown,Male,Grey,22.73,8.895,Unknown,Unknown,Unknown,"Aliens, Capes, Circlets, Hair Antenna",64,55,Unknown,https://www.anime-planet.com/characters/nyaruo,119.0,11785.0
9514,9515,Man with the Scar,Unknown,Male,Black,60.411,4.789,Unknown,Unknown,Unknown,"Adults, Scientists, Scars, Hats",10,109,Unknown,https://www.anime-planet.com/characters/man-with-the-scar,119.0,30016.0
22581,22583,Shouko YUASA,Unknown,Female,Brown,15.675,48.931,Unknown,Unknown,Unknown,"High School Students, Teenagers, Ponytail",115,4,Unknown,https://www.anime-planet.com/characters/shouko-yuasa,119.0,12189.0
43966,43970,Torino KAZAMI,Unknown,Female,Brown,15.893,40.637,Unknown,Unknown,Unknown,Hair Buns,113,6,Unknown,https://www.anime-planet.com/characters/torino-kazami,119.0,30385.0
28134,28136,Takeshi FURUHATA,Unknown,Male,Brown,64.643,4.681,Unknown,Unknown,Unknown,"Adults, Gamblers",8,111,Unknown,https://www.anime-planet.com/characters/takeshi-furuhata,119.0,
8834,8835,Brantack LYNGSTAD,Unknown,Male,Multicolored,15.724,53.366,Brown,Unknown,Unknown,"Adults, Capes, Elemental Powers, Facial Hair, Heavy Drinkers, Magic Users, Wind Powers",115,4,Unknown,https://www.anime-planet.com/characters/brantack-lyngstad,119.0,
33375,33377,Cafe Master,Unknown,Male,Black,15.691,49.8,Unknown,Unknown,Unknown,"Facial Hair, Adults",115,4,Unknown,https://www.anime-planet.com/characters/cafe-master,119.0,
20195,20197,Yuri KAZAMI,Unknown,Female,Pink,15.901,41.407,Unknown,Unknown,Unknown,"Tailors, Closed Eyes, Middle School Students, Student Council, Photographers",113,6,Unknown,https://www.anime-planet.com/characters/yuri-kazami,119.0,
33421,33423,Toramaru UTSUNOMIYA,Unknown,Male,Black,15.935,35.723,Green,Unknown,Unknown,"Athletes, Soccer Players",112,7,Unknown,https://www.anime-planet.com/characters/toramaru-utsunomiya,119.0,5231.0
17525,17527,Yoshizumi,Unknown,Male,Brown,43.165,5.236,Unknown,Unknown,Unknown,"Adults, Glasses, Scientists",20,99,Unknown,https://www.anime-planet.com/characters/yoshizumi,119.0,2404.0
14324,14326,Harth,Unknown,Male,Brown,15.618,61.266,Unknown,Unknown,Unknown,"Wings, Hats, Canes",116,3,Unknown,https://www.anime-planet.com/characters/harth,119.0,
37390,37392,Koichiro OTA,Coach,Male,Green,15.929,35.55,Unknown,Unknown,Unknown,"Adults, Canes, Military, Scars, Sunglasses",112,7,Unknown,https://www.anime-planet.com/characters/koichiro-ota,119.0,
40903,40906,Sadamatsu MINATOGAWA,Unknown,Male,Blonde,15.973,36.991,Unknown,Unknown,Unknown,"High School Students, Teenagers",112,7,Unknown,https://www.anime-planet.com/characters/sadamatsu-minatogawa,119.0,
