Unnamed: 0,ID,Name,Alias,Gender,Hair Color,Love Rank,Hate Rank,Eye color,Birthday,Blood Type,Tags,Love Count,Hate Count,Description,url,Counts,MAL_ID
43252,43256,Cus,Kusu,Female,White,30.085,30.328,Unknown,Unknown,Unknown,"Angels, Aliens, Martial Artists, Ponytail",40,10,Unknown,https://www.anime-planet.com/characters/cus,50.0,30694.0
16665,16667,Takaoka,Unknown,Male,Brown,61.61,11.197,Unknown,Unknown,Unknown,"Adults, Glasses, Teachers",9,41,Unknown,https://www.anime-planet.com/characters/takaoka-shinrei-tantei-yakumo,50.0,
50270,50276,Miu TAKATORI,Unknown,Female,White,27.942,43.268,Unknown,Unknown,Unknown,Martial Artists,45,5,Unknown,https://www.anime-planet.com/characters/miu-takatori,50.0,
11824,11826,Elmyr,Unknown,Female,Blonde,28.236,38.834,Unknown,Unknown,Unknown,"Royalty, Hair Drills",44,6,Unknown,https://www.anime-planet.com/characters/elmyr,50.0,167.0
34166,34168,Seiya UESUGI,Unknown,Male,Black,31.331,25.242,Unknown,Unknown,Unknown,"Glasses, Headphones, High School Students, Teenagers",37,13,Unknown,https://www.anime-planet.com/characters/seiya-uesugi,50.0,
28977,28979,Curtis WOLNE,Unknown,Male,Multicolored,55.749,12.051,Unknown,Unknown,Unknown,"Capes, Facial Hair, Knights, Magic Users",12,38,Unknown,https://www.anime-planet.com/characters/curtis-wolne,50.0,34572.0
39345,39347,Fukuzou MOGURO,"The Laughing Salesman, Warau Salesman",Male,Black,31.713,23.842,Unknown,Unknown,Unknown,"Hats, Overweight",36,14,Unknown,https://www.anime-planet.com/characters/fukuzou-moguro,50.0,3077.0
11794,11796,Rebecka HALLSTROM,Unknown,Female,Red,29.899,29.516,Unknown,Unknown,Unknown,"Adults, Ponytail",40,10,Unknown,https://www.anime-planet.com/characters/rebecka-hallstrom,50.0,12471.0
11866,11868,Gen's mom,Unknown,Female,Grey,35.533,18.251,Unknown,Unknown,Unknown,Elderly,29,21,Unknown,https://www.anime-planet.com/characters/gens-mom,50.0,72.0
45054,45058,Noa SHIRAGIKU,Unknown,Female,Black,27.433,62.011,Unknown,Unknown,Unknown,"High School Students, Athletes, Teenagers, Archers, Ponytail",47,3,Unknown,https://www.anime-planet.com/characters/noa-shiragiku,50.0,
16386,16388,Masaki SHIRAISHI,Unknown,Male,Black,27.04,74.694,Unknown,Unknown,Unknown,"Adults, Glasses",48,2,Unknown,https://www.anime-planet.com/characters/masaki-shiraishi,50.0,
44370,44374,Ayumu KANNABE,Unknown,Male,Pink,29.217,34.81,Unknown,Unknown,Unknown,"Board Game Players, Teenagers, Heterochromia, Capes, Chuunibyou",42,8,Unknown,https://www.anime-planet.com/characters/ayumu-kannabe,50.0,
33390,33392,Mai MISHOU,"Cure Egret, Cure Windy",Female,Purple,26.59,83.345,Unknown,Unknown,Unknown,"Magical Girl, Middle School Students, Ponytail, Teenagers",49,1,Unknown,https://www.anime-planet.com/characters/mai-mishou,50.0,
34186,34188,Goat Chimera,Unknown,Male,White,33.834,20.438,Unknown,Unknown,Unknown,"Animals, Goats",32,18,Unknown,https://www.anime-planet.com/characters/goat-chimera,50.0,
33373,33375,Kakeru's Grandmother,Unknown,Female,Grey,27.089,76.391,Unknown,Unknown,Unknown,Elderly,48,2,Unknown,https://www.anime-planet.com/characters/kakerus-grandmother,50.0,32729.0
48875,48880,Lucie ASCAM,Lucy ASKAM,Female,Brown,43.195,14.178,Unknown,Unknown,Unknown,Unknown,20,30,Unknown,https://www.anime-planet.com/characters/lucie-ascam,50.0,329.0
